week,brand,subchannel,region,volume_hl,net_revenue_adj_CPI
2021-01-09,Brand A,Subchannel A,Region A,91.85503350990615,19.48714749760993
2021-01-16,Brand A,Subchannel A,Region A,96.69940052899464,17.217978923530225
2021-01-23,Brand A,Subchannel A,Region A,70.12269193256519,14.679660390051925
2021-01-30,Brand A,Subchannel A,Region A,19.229185607018007,4.282234475175368
2021-02-06,Brand A,Subchannel A,Region A,54.571811365146296,14.10564384114131
2021-02-13,Brand A,Subchannel A,Region A,36.5662711238086,7.3342782070958314
2021-02-20,Brand A,Subchannel A,Region A,58.21281351936015,11.071941810650847
2021-02-27,Brand A,Subchannel A,Region A,119.48779811863714,19.567876102793235
2021-03-06,Brand A,Subchannel A,Region A,50.745872934053125,10.78105671863122
2021-03-13,Brand A,Subchannel A,Region A,63.820674258769415,13.10597025265008
2021-03-20,Brand A,Subchannel A,Region A,79.17914779061873,15.46595515788647
2021-03-27,Brand A,Subchannel A,Region A,73.42322730466239,16.318705961695912
2021-04-03,Brand A,Subchannel A,Region A,81.84344688045974,17.3823378652748
2021-04-10,Brand A,Subchannel A,Region A,74.41268283957636,15.98943775628287
2021-04-17,Brand A,Subchannel A,Region A,61.30656032723355,12.977870471570863
2021-04-24,Brand A,Subchannel A,Region A,47.68796540466643,10.738485980546406
2021-05-01,Brand A,Subchannel A,Region A,89.17912101750213,15.150755190079167
2021-05-08,Brand A,Subchannel A,Region A,60.40011039398488,13.663605751143193
2021-05-15,Brand A,Subchannel A,Region A,41.133370543005576,10.414444567888346
2021-05-22,Brand A,Subchannel A,Region A,36.90297707254711,8.347310474030161
2021-05-29,Brand A,Subchannel A,Region A,13.00629179485372,2.7460462787174897
2021-06-05,Brand A,Subchannel A,Region A,47.30793669173438,10.195059523861815
2021-06-12,Brand A,Subchannel A,Region A,23.70653728755387,5.329995886445421
2021-06-19,Brand A,Subchannel A,Region A,21.450991786904414,4.954797398197613
2021-06-26,Brand A,Subchannel A,Region A,36.17296813265847,7.436646611341675
2021-07-03,Brand A,Subchannel A,Region A,36.8322594053198,7.907199654069462
2021-07-10,Brand A,Subchannel A,Region A,63.290648111027515,14.60192251290462
2021-07-17,Brand A,Subchannel A,Region A,113.37585207288235,24.086423274169935
2021-07-24,Brand A,Subchannel A,Region A,90.11366583969188,20.703855203592187
2021-07-31,Brand A,Subchannel A,Region A,207.6521686559148,40.04345862063909
2021-08-07,Brand A,Subchannel A,Region A,46.960374597914466,10.168002534550356
2021-08-14,Brand A,Subchannel A,Region A,169.97858346081824,40.09044336268884
2021-08-21,Brand A,Subchannel A,Region A,91.21134555948319,22.956023314143707
2021-08-28,Brand A,Subchannel A,Region A,66.97616618723197,13.366274242248982
2021-09-04,Brand A,Subchannel A,Region A,109.59158825734498,25.526299700727392
2021-09-11,Brand A,Subchannel A,Region A,83.75813742498904,18.331821107652985
2021-09-18,Brand A,Subchannel A,Region A,214.42521639242852,50.71780824162417
2021-09-25,Brand A,Subchannel A,Region A,84.45953603176675,22.574146412094542
2021-10-02,Brand A,Subchannel A,Region A,268.4383721861973,59.434077883418816
2021-10-09,Brand A,Subchannel A,Region A,311.73751503715823,78.2273104313918
2021-10-16,Brand A,Subchannel A,Region A,364.46968071061593,91.6821651440239
2021-10-23,Brand A,Subchannel A,Region A,195.04585517236958,47.559439767647824
2021-10-30,Brand A,Subchannel A,Region A,89.35167390731843,21.98771825416619
2021-11-06,Brand A,Subchannel A,Region A,564.2550577400796,153.90494695355648
2021-11-13,Brand A,Subchannel A,Region A,318.08550905808954,87.87876358711293
2021-11-20,Brand A,Subchannel A,Region A,180.23058979561046,42.32451600765638
2021-11-27,Brand A,Subchannel A,Region A,228.1184075405038,56.244834387635905
2021-12-04,Brand A,Subchannel A,Region A,576.3729146935525,145.233473252799
2021-12-11,Brand A,Subchannel A,Region A,981.1871740997823,252.77594381717964
2021-12-18,Brand A,Subchannel A,Region A,363.1531132762617,89.0694894440554
2021-12-25,Brand A,Subchannel A,Region A,372.118235821493,77.85154930129691
2022-01-01,Brand A,Subchannel A,Region A,125.59732603125477,28.24941782891209
2022-01-08,Brand A,Subchannel A,Region A,96.76140655342215,26.470417551887536
2022-01-15,Brand A,Subchannel A,Region A,222.921393984501,48.845806864769266
2022-01-22,Brand A,Subchannel A,Region A,186.62515196994428,45.53379544055744
