subchannel,region,brand,week,variable,value
Subchannel A,Region A,Brand A,2021-01-09,total_distribution,1.26086956521739
Subchannel A,Region A,Brand A,2021-01-16,total_distribution,1.25
Subchannel A,Region A,Brand A,2021-01-23,total_distribution,1.36842105263157
Subchannel A,Region A,Brand A,2021-01-30,total_distribution,1.08
Subchannel A,Region A,Brand A,2021-02-06,total_distribution,1.23076923076923
Subchannel A,Region A,Brand A,2021-02-13,total_distribution,1.31578947368421
Subchannel A,Region A,Brand A,2021-02-20,total_distribution,1.23809523809523
Subchannel A,Region A,Brand A,2021-02-27,total_distribution,1.62068965517241
Subchannel A,Region A,Brand A,2021-03-06,total_distribution,1.65
Subchannel A,Region A,Brand A,2021-03-13,total_distribution,1.3
Subchannel A,Region A,Brand A,2021-03-20,total_distribution,1.25
Subchannel A,Region A,Brand A,2021-03-27,total_distribution,1.31578947368421
Subchannel A,Region A,Brand A,2021-04-03,total_distribution,1.13333333333333
Subchannel A,Region A,Brand A,2021-04-10,total_distribution,1.25
Subchannel A,Region A,Brand A,2021-04-17,total_distribution,1.1875
Subchannel A,Region A,Brand A,2021-04-24,total_distribution,1.16666666666666
Subchannel A,Region A,Brand A,2021-05-01,total_distribution,1.35294117647058
Subchannel A,Region A,Brand A,2021-05-08,total_distribution,1.66666666666666
Subchannel A,Region A,Brand A,2021-05-15,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2021-05-22,total_distribution,1.16666666666666
Subchannel A,Region A,Brand A,2021-05-29,total_distribution,1.125
Subchannel A,Region A,Brand A,2021-06-05,total_distribution,1.57894736842105
Subchannel A,Region A,Brand A,2021-06-12,total_distribution,1.41176470588235
Subchannel A,Region A,Brand A,2021-06-19,total_distribution,1.13333333333333
Subchannel A,Region A,Brand A,2021-06-26,total_distribution,1.625
Subchannel A,Region A,Brand A,2021-07-03,total_distribution,1.41176470588235
Subchannel A,Region A,Brand A,2021-07-10,total_distribution,1.4074074074074
Subchannel A,Region A,Brand A,2021-07-17,total_distribution,1.7037037037037
Subchannel A,Region A,Brand A,2021-07-24,total_distribution,1.63636363636363
Subchannel A,Region A,Brand A,2021-07-31,total_distribution,1.52173913043478
Subchannel A,Region A,Brand A,2021-08-07,total_distribution,1.45
Subchannel A,Region A,Brand A,2021-08-14,total_distribution,1.26315789473684
Subchannel A,Region A,Brand A,2021-08-21,total_distribution,1.1578947368421
Subchannel A,Region A,Brand A,2021-08-28,total_distribution,1.2
Subchannel A,Region A,Brand A,2021-09-04,total_distribution,1.47826086956521
Subchannel A,Region A,Brand A,2021-09-11,total_distribution,1.41666666666666
Subchannel A,Region A,Brand A,2021-09-18,total_distribution,1.31818181818181
Subchannel A,Region A,Brand A,2021-09-25,total_distribution,1.44444444444444
Subchannel A,Region A,Brand A,2021-10-02,total_distribution,1.46428571428571
Subchannel A,Region A,Brand A,2021-10-09,total_distribution,1.5
Subchannel A,Region A,Brand A,2021-10-16,total_distribution,1.44
Subchannel A,Region A,Brand A,2021-10-23,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2021-10-30,total_distribution,1.37931034482758
Subchannel A,Region A,Brand A,2021-11-06,total_distribution,1.72222222222222
Subchannel A,Region A,Brand A,2021-11-13,total_distribution,1.27272727272727
Subchannel A,Region A,Brand A,2021-11-20,total_distribution,1.17391304347826
Subchannel A,Region A,Brand A,2021-11-27,total_distribution,1.32142857142857
Subchannel A,Region A,Brand A,2021-12-04,total_distribution,1.42857142857142
Subchannel A,Region A,Brand A,2021-12-11,total_distribution,1.29629629629629
Subchannel A,Region A,Brand A,2021-12-18,total_distribution,1.54285714285714
Subchannel A,Region A,Brand A,2021-12-25,total_distribution,1.22222222222222
Subchannel A,Region A,Brand A,2022-01-01,total_distribution,1.5
Subchannel A,Region A,Brand A,2022-01-08,total_distribution,1.375
Subchannel A,Region A,Brand A,2022-01-15,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2022-01-22,total_distribution,1.52941176470588
Subchannel A,Region A,Brand A,2022-01-29,total_distribution,1.25806451612903
Subchannel A,Region A,Brand A,2022-02-05,total_distribution,1.52631578947368
Subchannel A,Region A,Brand A,2022-02-12,total_distribution,1.4
Subchannel A,Region A,Brand A,2022-02-19,total_distribution,1.53333333333333
Subchannel A,Region A,Brand A,2022-02-26,total_distribution,1.81818181818181
Subchannel A,Region A,Brand A,2022-03-05,total_distribution,1.65217391304347
Subchannel A,Region A,Brand A,2022-03-12,total_distribution,1.48275862068965
Subchannel A,Region A,Brand A,2022-03-19,total_distribution,1.51515151515151
Subchannel A,Region A,Brand A,2022-03-26,total_distribution,1.53125
Subchannel A,Region A,Brand A,2022-04-02,total_distribution,1.13043478260869
Subchannel A,Region A,Brand A,2022-04-09,total_distribution,1.18518518518518
Subchannel A,Region A,Brand A,2022-04-16,total_distribution,1.19047619047619
Subchannel A,Region A,Brand A,2022-04-23,total_distribution,1.32142857142857
Subchannel A,Region A,Brand A,2022-04-30,total_distribution,1.31578947368421
Subchannel A,Region A,Brand A,2022-05-07,total_distribution,1.5
Subchannel A,Region A,Brand A,2022-05-14,total_distribution,1.08
Subchannel A,Region A,Brand A,2022-05-21,total_distribution,1.36842105263157
Subchannel A,Region A,Brand A,2022-05-28,total_distribution,1.29032258064516
Subchannel A,Region A,Brand A,2022-06-04,total_distribution,1.14285714285714
Subchannel A,Region A,Brand A,2022-06-11,total_distribution,1.04
Subchannel A,Region A,Brand A,2022-06-18,total_distribution,1.39130434782608
Subchannel A,Region A,Brand A,2022-06-25,total_distribution,1.27272727272727
Subchannel A,Region A,Brand A,2022-07-02,total_distribution,1.11111111111111
Subchannel A,Region A,Brand A,2022-07-09,total_distribution,1.23076923076923
Subchannel A,Region A,Brand A,2022-07-16,total_distribution,1.36363636363636
Subchannel A,Region A,Brand A,2022-07-23,total_distribution,1.28571428571428
Subchannel A,Region A,Brand A,2022-07-30,total_distribution,1.25
Subchannel A,Region A,Brand A,2022-08-06,total_distribution,1.25
Subchannel A,Region A,Brand A,2022-08-13,total_distribution,1.36842105263157
Subchannel A,Region A,Brand A,2022-08-20,total_distribution,1.4
Subchannel A,Region A,Brand A,2022-08-27,total_distribution,1.3125
Subchannel A,Region A,Brand A,2022-09-03,total_distribution,1.4375
Subchannel A,Region A,Brand A,2022-09-10,total_distribution,1.28571428571428
Subchannel A,Region A,Brand A,2022-09-17,total_distribution,1.25806451612903
Subchannel A,Region A,Brand A,2022-09-24,total_distribution,1.5
Subchannel A,Region A,Brand A,2022-10-01,total_distribution,1.42857142857142
Subchannel A,Region A,Brand A,2022-10-08,total_distribution,1.4
Subchannel A,Region A,Brand A,2022-10-15,total_distribution,1.4090909090909
Subchannel A,Region A,Brand A,2022-10-22,total_distribution,1.39393939393939
Subchannel A,Region A,Brand A,2022-10-29,total_distribution,1.52
Subchannel A,Region A,Brand A,2022-11-05,total_distribution,1.51724137931034
Subchannel A,Region A,Brand A,2022-11-12,total_distribution,1.57142857142857
Subchannel A,Region A,Brand A,2022-11-19,total_distribution,1.35714285714285
Subchannel A,Region A,Brand A,2022-11-26,total_distribution,1.29166666666666
Subchannel A,Region A,Brand A,2022-12-03,total_distribution,1.33333333333333
Subchannel A,Region A,Brand A,2022-12-10,total_distribution,1.48
Subchannel A,Region A,Brand A,2022-12-17,total_distribution,1.54838709677419
