week,region,avg_temp,avg_prcp,income_region,evento_deportivo,evento_social,feriado
2021-01-02,Region D,25.55,0.0,,,,
2021-01-02,Region E,24.990000000000002,0.0,,,,
2021-01-02,Region B,25.19,0.0,,,,
2021-01-02,Region A,24.8,0.0,,,,
2021-01-02,Region G,24.39,0.0,,,,
2021-01-02,Region C,28.740000000000002,0.0,,,,
2021-01-02,Region H,16.01,0.0,,,,
2021-01-02,Region F,21.59,0.0,,,,
2021-01-09,Region D,24.75714285714286,12.2,,,,
2021-01-09,Region E,24.19714285714286,10.004,,,,
2021-01-09,Region B,24.39714285714286,11.467999999999998,,,,
2021-01-09,Region A,24.00714285714286,2.6839999999999997,,,,
2021-01-09,Region G,23.59714285714286,8.418,,,,
2021-01-09,Region C,27.94714285714286,16.104,,,,
2021-01-09,Region H,15.21714285714286,9.149999999999999,,,,
2021-01-09,Region F,20.79714285714286,10.491999999999999,,,,
2021-01-16,Region D,22.8,43.2,,,,
2021-01-16,Region E,22.240000000000002,35.424,,,,
2021-01-16,Region B,22.44,40.608,,,,
2021-01-16,Region A,22.05,9.504000000000001,,,,
2021-01-16,Region G,21.64,29.808,,,,
2021-01-16,Region C,25.990000000000002,57.02400000000001,,,,
2021-01-16,Region H,13.260000000000002,32.400000000000006,,,,
2021-01-16,Region F,18.84,37.152,,,,
2021-01-23,Region D,24.871428571428574,0.0,,,,
2021-01-23,Region E,24.311428571428575,0.0,,,,
2021-01-23,Region B,24.511428571428574,0.0,,,,
2021-01-23,Region A,24.121428571428574,0.0,,,,
2021-01-23,Region G,23.711428571428574,0.0,,,,
2021-01-23,Region C,28.061428571428575,0.0,,,,
2021-01-23,Region H,15.331428571428575,0.0,,,,
2021-01-23,Region F,20.911428571428573,0.0,,,,
2021-01-30,Region D,25.828571428571426,38.9,,,,
2021-01-30,Region E,25.268571428571427,31.897999999999996,,,,
2021-01-30,Region B,25.468571428571426,36.565999999999995,,,,
2021-01-30,Region A,25.078571428571426,8.558,,,,
2021-01-30,Region G,24.668571428571425,26.840999999999998,,,,
2021-01-30,Region C,29.018571428571427,51.348,,,,
2021-01-30,Region H,16.288571428571426,29.174999999999997,,,,
2021-01-30,Region F,21.868571428571425,33.454,,,,
2021-02-06,Region D,21.47142857142857,70.69999999999999,,0.0,0.0,1.0
2021-02-06,Region E,20.911428571428573,57.97399999999999,,0.0,0.0,1.0
2021-02-06,Region B,21.111428571428572,66.45799999999998,,0.0,0.0,1.0
2021-02-06,Region A,20.72142857142857,15.553999999999997,,0.0,0.0,1.0
2021-02-06,Region G,20.31142857142857,48.78299999999999,,0.0,0.0,1.0
2021-02-06,Region C,24.661428571428573,93.32399999999998,,0.0,0.0,1.0
2021-02-06,Region H,11.931428571428572,53.02499999999999,,0.0,0.0,1.0
2021-02-06,Region F,17.51142857142857,60.80199999999999,,0.0,0.0,1.0
2021-02-13,Region D,22.785714285714285,27.200000000000003,,,,
2021-02-13,Region E,22.225714285714286,22.304000000000002,,,,
2021-02-13,Region B,22.425714285714285,25.568,,,,
2021-02-13,Region A,22.035714285714285,5.984000000000001,,,,
2021-02-13,Region G,21.625714285714285,18.768,,,,
2021-02-13,Region C,25.975714285714286,35.904,,,,
2021-02-13,Region H,13.245714285714286,20.400000000000002,,,,
2021-02-13,Region F,18.825714285714284,23.392000000000003,,,,
2021-02-20,Region D,22.985714285714288,38.300000000000004,,0.0,0.0,2.0
2021-02-20,Region E,22.42571428571429,31.406000000000002,,0.0,0.0,2.0
2021-02-20,Region B,22.625714285714288,36.002,,0.0,0.0,2.0
2021-02-20,Region A,22.235714285714288,8.426,,0.0,0.0,2.0
2021-02-20,Region G,21.825714285714287,26.427,,0.0,0.0,2.0
2021-02-20,Region C,26.17571428571429,50.556000000000004,,0.0,0.0,2.0
2021-02-20,Region H,13.445714285714288,28.725,,0.0,0.0,2.0
2021-02-20,Region F,19.025714285714287,32.938,,0.0,0.0,2.0
2021-02-27,Region D,25.0,6.6000000000000005,,,,
2021-02-27,Region E,24.44,5.412,,,,
2021-02-27,Region B,24.64,6.204,,,,
2021-02-27,Region A,24.25,1.4520000000000002,,,,
2021-02-27,Region G,23.84,4.554,,,,
2021-02-27,Region C,28.19,8.712000000000002,,,,
2021-02-27,Region H,15.46,4.95,,,,
