modelo,n_obs,R2,RMSE_hl,MAE_hl,WAPE,MASE_promedio_series,MASE_agregado,fold,inicio,fin
Paso 0 - Estacional ingenuo,1032,0.7439541021450198,812.9110858758064,239.7274891422749,0.477735302504418,0.6178984119558699,0.6013655064725397,1,2025-05-24,2025-07-12
Paso 1 - Venta base,1032,0.5506129946945155,1076.947146801971,336.7873648301473,0.6711587986528618,1.117958735285575,0.8448438889894412,1,2025-05-24,2025-07-12
Paso 2 - Venta base + lag52,1032,0.736908671547287,824.0193345007178,224.2102511097482,0.4468121387403216,0.6050155254436409,0.5624399258398272,1,2025-05-24,2025-07-12
Paso 3 - MMM estandar,1032,0.595440754977155,1021.8218851998129,320.6419350362769,0.6389837576751423,1.0494638964084322,0.804342465477491,1,2025-05-24,2025-07-12
Paso 4 - MMM calibrado conjunto,1032,0.5829682178360811,1037.45367157618,327.2556540702052,0.6521637524878263,1.0781596840961187,0.8209332307282168,1,2025-05-24,2025-07-12
Paso 5 - MMM calibrado + lag52,1032,0.7731852723656828,765.1027456522503,221.44545167566972,0.44130237305291803,0.6014950479252431,0.5555043215087658,1,2025-05-24,2025-07-12
A1 - Medios en nivel,1032,0.5561270837865382,1070.3195502959,335.93026927230085,0.6694507558786769,1.118161548755979,0.8426938322475804,1,2025-05-24,2025-07-12
A2 - MMM calibrado + semanas,1032,0.5794858340646778,1041.7762450594514,312.3115189328232,0.6223826833827852,0.954680122302542,0.7834453004627302,1,2025-05-24,2025-07-12
A3 - MMM calibrado + semanas + lag52,1032,0.7750685418061153,761.9197555169035,221.68283397266384,0.4417754347942704,0.6159130464106952,0.5560998040117122,1,2025-05-24,2025-07-12
A4 - MMM calibrado + FE por serie,1032,0.8165730026451313,688.0432893545774,202.18846910555467,0.4029265471250191,0.5393645251587071,0.5071974497443131,1,2025-05-24,2025-07-12
A5 - MMM calibrado exploratorio individual,1032,0.5189670413279455,1114.221544952416,325.8056518954746,0.6492741496723318,0.9850003554086764,0.8172958452314053,1,2025-05-24,2025-07-12
A6 - MMM calibrado + smearing subcanal,1032,0.580919634809421,1039.9986890389819,331.17636852708966,0.6599770563095734,1.0600080848193898,0.8307684917720566,1,2025-05-24,2025-07-12
Paso 0 - Estacional ingenuo,960,0.8684071587967983,804.7894951597958,258.34925342134454,0.3514554663010617,0.6337757039825564,0.651565318675862,2,2025-07-19,2025-09-06
Paso 1 - Venta base,960,0.5328747799714926,1516.2919340727328,464.23409285456876,0.6315389242134072,1.170133120715946,1.170813658817395,2,2025-07-19,2025-09-06
Paso 2 - Venta base + lag52,960,0.7191716437971085,1175.6732747190413,335.1994711187036,0.4560016522817639,0.7260255872350126,0.8453840966330975,2,2025-07-19,2025-09-06
Paso 3 - MMM estandar,960,0.561570058561703,1468.9813084333282,449.19535514589995,0.6110803918043375,1.1600254433584014,1.132885467433576,2,2025-07-19,2025-09-06
Paso 4 - MMM calibrado conjunto,960,0.543135693906579,1499.5459611364286,458.6074212405445,0.6238844623961529,1.1742143914222782,1.15662300784889,2,2025-07-19,2025-09-06
Paso 5 - MMM calibrado + lag52,960,0.7632811136802509,1079.4005164250482,319.0543852751232,0.4340380561092137,0.7411820983971933,0.8046656588462263,2,2025-07-19,2025-09-06
A1 - Medios en nivel,960,0.5397381249208892,1505.111479910953,462.27840811923875,0.6288784323347166,1.1770222097259129,1.1658813575588092,2,2025-07-19,2025-09-06
A2 - MMM calibrado + semanas,960,0.5865904244629678,1426.4496043223905,463.48380047477644,0.6305182347602352,1.298443853404961,1.168921396745547,2,2025-07-19,2025-09-06
A3 - MMM calibrado + semanas + lag52,960,0.7738848182185805,1054.9479398386363,322.1742055327091,0.4382822250738404,0.7847087536782927,0.812533948200367,2,2025-07-19,2025-09-06
A4 - MMM calibrado + FE por serie,960,0.90933612041901,668.0105424457678,221.34415594246306,0.3011141410689524,0.5620421750832816,0.5582372451004548,2,2025-07-19,2025-09-06
A5 - MMM calibrado exploratorio individual,960,0.5624048760865077,1467.582093248765,461.04708867164896,0.6272033589799952,1.228746204623938,1.1627759293927282,2,2025-07-19,2025-09-06
A6 - MMM calibrado + smearing subcanal,960,0.541080666623021,1502.9147407049506,461.36664924589047,0.6276380856499745,1.1600635947226337,1.163581871676805,2,2025-07-19,2025-09-06
Paso 0 - Estacional ingenuo,960,0.6809743073470409,1260.3220113734503,370.5691895948193,0.4517699336990704,0.7951837133143483,0.9651599824488402,3,2025-09-13,2025-11-01
Paso 1 - Venta base,960,0.5930080090023864,1423.5136063434798,493.48824341412086,0.6016235490388026,1.438280200876286,1.2853068137506611,3,2025-09-13,2025-11-01
Paso 2 - Venta base + lag52,960,0.8406204480369268,890.8098117951473,305.94727059948787,0.3729877767368346,0.8179947548680868,0.7968500096970839,3,2025-09-13,2025-11-01
Paso 3 - MMM estandar,960,0.6087290749528883,1395.749495835312,492.23298438214647,0.6000932321490734,1.4656903116222315,1.2820374491642696,3,2025-09-13,2025-11-01
Paso 4 - MMM calibrado conjunto,960,0.6158196109521008,1383.0449240819712,491.7474759385415,0.5995013369685335,1.4848245938415738,1.2807729260089018,3,2025-09-13,2025-11-01
Paso 5 - MMM calibrado + lag52,960,0.8749719877165707,788.9915544911381,290.5771576055666,0.3542496972548265,0.8544654703782604,0.7568180307738767,3,2025-09-13,2025-11-01
A1 - Medios en nivel,960,0.5955034941112831,1419.1427351798727,494.09979884232376,0.6023691111713549,1.450110882675032,1.2868996305387923,3,2025-09-13,2025-11-01
A2 - MMM calibrado + semanas,960,0.6365619659134087,1345.1907689337534,512.6061821368781,0.6249306942407191,1.730773608758598,1.3351001314905677,3,2025-09-13,2025-11-01
A3 - MMM calibrado + semanas + lag52,960,0.8700470280874236,804.3809913157543,308.59259826268243,0.37621276018545974,0.9644475878323239,0.8037398550287261,3,2025-09-13,2025-11-01
A4 - MMM calibrado + FE por serie,960,0.9356974498028596,565.8258566950577,213.31064536570963,0.26005220838661924,0.640818399520309,0.5555747874301888,3,2025-09-13,2025-11-01
A5 - MMM calibrado exploratorio individual,960,0.6599528517003096,1301.1826377144619,519.7210100285879,0.6336045543866003,1.8350206841434165,1.3536309412715897,3,2025-09-13,2025-11-01
A6 - MMM calibrado + smearing subcanal,960,0.6123781548210829,1389.2257141764974,495.244532160112,0.6037646834682472,1.454723607839217,1.289881127165949,3,2025-09-13,2025-11-01
Paso 0 - Estacional ingenuo,1050,0.8116197783564003,1075.4305943650852,331.59976042347904,0.34831802933186395,1.0103188543195623,0.9011811919970037,4,2025-11-08,2025-12-27
Paso 1 - Venta base,1050,0.6083112361213887,1550.7267990723776,532.6467854502154,0.5595012445154789,1.7625496903155964,1.4475621587071872,4,2025-11-08,2025-12-27
Paso 2 - Venta base + lag52,1050,0.8627907491275002,917.8177072081105,326.9763375401889,0.3434615072842641,1.0925236185889764,0.8886162198759485,4,2025-11-08,2025-12-27
Paso 3 - MMM estandar,1050,0.6079174176410347,1551.5061824738464,525.632622023994,0.5521334479316908,1.6721255840327727,1.4284999249189858,4,2025-11-08,2025-12-27
