year,incremental_hl,spend,channel,revenue_per_hl,incremental_hl_per_spend,revenue_roi,efficiency_index_vs_localtv,roi_index_vs_localtv
2023,0.0,26.36444738991686,cinema,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,108.05794065507224,cinema,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,0.0,cinema,0.21836145493886003,,,,
Total,0.0,134.4223880449891,cinema,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,637.4750698606745,digitaldisplayandsearch,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,1048.6481541652456,digitaldisplayandsearch,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,653.625374659745,digitaldisplayandsearch,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,2339.7485986856645,digitaldisplayandsearch,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,530.3472976123721,digitalvideo,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,344.69902360727116,digitalvideo,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,315.76858634466385,digitalvideo,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,1190.814907564307,digitalvideo,0.22804108256320194,0.0,0.0,0.0,0.0
2023,891224.7148175149,2303.2475031080603,facebook,0.23446228536378655,386.9426597075971,90.72346029978517,28.51550102649858,28.515501026498576
2024,577252.9211463234,1106.1145666513612,facebook,0.2285641537257815,521.8744409938407,119.28178995687249,37.22745286862005,37.22745286862004
2025,700422.3333381065,1166.0292610656563,facebook,0.21836145493886003,600.6901856802266,131.16758291262826,22.172658435817954,22.172658435817958
Total,2168899.9693019446,4575.391330825078,facebook,0.22804108256320194,474.03594850778114,108.09967087158866,28.759911951146716,28.759911951146712
2023,84282.37253327559,1650.3095689720265,instagram,0.23446228536378655,51.070644028183665,11.974139913848362,3.7636196621745146,3.763619662174515
2024,55535.10166430108,811.0980753577868,instagram,0.2285641537257815,68.46903395721135,15.64956680285181,4.884178136311746,4.884178136311745
2025,68990.75258382685,943.4540180650415,instagram,0.21836145493886003,73.12571811959853,15.967838202044497,2.6992143527427284,2.6992143527427293
Total,208808.22678140347,3404.8616623948546,instagram,0.22804108256320194,61.32649355114634,13.984959979208634,3.7206978929670442,3.7206978929670442
2023,41024.03314425938,3023.2408598220845,localtv,0.23446228536378655,13.569555006170965,3.1815488781164554,1.0,1.0
2024,48194.78004903685,3437.9321190213345,localtv,0.2285641537257815,14.018537417415999,3.204135141284891,1.0,1.0
2025,44120.87805784437,1628.5885509468562,localtv,0.21836145493886003,27.091482395717833,5.915735512379459,1.0,1.0
Total,133339.6912511406,8089.761529790275,localtv,0.22804108256320194,16.482524331541995,3.758692691939153,1.0,1.0
2023,0.0,3891.670961266418,ooh,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,10029.895017911593,ooh,0.2285641537257815,0.0,0.0,0.0,0.0
2025,0.0,8668.076426624362,ooh,0.21836145493886003,0.0,0.0,0.0,0.0
Total,0.0,22589.642405802373,ooh,0.22804108256320194,0.0,0.0,0.0,0.0
2023,0.0,4934.807585693963,opentv,0.23446228536378655,0.0,0.0,0.0,0.0
2024,0.0,4218.629647125424,opentv,0.2285641537257815,0.0,0.0,0.0,0.0
