number,value,datetime_start,datetime_complete,duration,params_candidate__cinema,params_candidate__digitaldisplayandsearch,params_candidate__digitalvideo,params_candidate__facebook,params_candidate__instagram,params_candidate__localtv,params_candidate__ooh,params_candidate__opentv,params_candidate__paytv,params_candidate__print,params_candidate__radio,params_candidate__tiktok,params_candidate__twitter,params_candidate__youtube,system_attrs_tpe:relative_params:0,state
0,1729.9225485342777,2026-09-21 11:07:07.726550,2026-09-21 11:07:08.495087,0 days 00:00:00.768537,3,7,17,1,8,17,3,16,10,14,5,7,5,16,,COMPLETE
1,1729.9225485342777,2026-09-21 11:29:04.471432,2026-09-21 11:29:04.951570,0 days 00:00:00.480138,3,7,17,1,8,17,3,16,10,14,5,7,5,16,,COMPLETE
2,1734.0644768960804,2026-09-21 11:29:04.965940,2026-09-21 11:29:05.444214,0 days 00:00:00.478274,0,8,10,6,12,16,0,2,4,11,4,17,2,0,,COMPLETE
3,1732.5188702242724,2026-09-21 11:29:05.456849,2026-09-21 11:29:05.923903,0 days 00:00:00.467054,8,12,15,12,9,8,4,9,10,8,3,8,16,5,,COMPLETE
4,1730.4771385779975,2026-09-21 11:29:05.942483,2026-09-21 11:29:06.412694,0 days 00:00:00.470211,0,4,3,3,12,13,15,1,3,17,0,8,0,11,,COMPLETE
5,1729.5287944366962,2026-09-21 11:29:06.426448,2026-09-21 11:29:06.863017,0 days 00:00:00.436569,17,8,6,11,12,10,10,1,17,11,4,16,3,6,,COMPLETE
6,1720.1390179273296,2026-09-21 11:29:06.877589,2026-09-21 11:29:07.336057,0 days 00:00:00.458468,9,6,9,8,4,12,1,2,14,13,5,15,13,16,,COMPLETE
7,1728.079527235548,2026-09-21 11:29:07.352513,2026-09-21 11:29:07.839482,0 days 00:00:00.486969,5,3,4,14,15,1,10,17,12,1,10,17,16,11,,COMPLETE
8,1725.9136638486998,2026-09-21 11:29:07.852737,2026-09-21 11:29:08.302324,0 days 00:00:00.449587,16,3,16,5,16,7,5,11,11,11,10,8,16,12,,COMPLETE
9,1720.277366463518,2026-09-21 11:29:08.315628,2026-09-21 11:29:08.771831,0 days 00:00:00.456203,7,12,17,1,7,2,16,12,12,10,1,17,15,15,,COMPLETE
10,1725.4139358814084,2026-09-21 11:29:08.786845,2026-09-21 11:29:09.241968,0 days 00:00:00.455123,10,11,5,10,13,13,2,0,10,12,3,12,13,16,"{""candidate__cinema"": 10, ""candidate__digitaldisplayandsearch"": 11, ""candidate__digitalvideo"": 5, ""candidate__facebook"": 10, ""candidate__instagram"": 13, ""candidate__localtv"": 13, ""candidate__ooh"": 2, ""candidate__opentv"": 0, ""candidate__paytv"": 10, ""candidate__print"": 12, ""candidate__radio"": 3, ""candidate__tiktok"": 12, ""candidate__twitter"": 13, ""candidate__youtube"": 16}",COMPLETE
11,1726.1221307189426,2026-09-21 11:29:09.256172,2026-09-21 11:29:09.850504,0 days 00:00:00.594332,8,12,12,0,7,12,7,12,10,8,1,16,17,17,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 12, ""candidate__facebook"": 0, ""candidate__instagram"": 7, ""candidate__localtv"": 12, ""candidate__ooh"": 7, ""candidate__opentv"": 12, ""candidate__paytv"": 10, ""candidate__print"": 8, ""candidate__radio"": 1, ""candidate__tiktok"": 16, ""candidate__twitter"": 17, ""candidate__youtube"": 17}",COMPLETE
12,1723.1371118619456,2026-09-21 11:29:09.864191,2026-09-21 11:29:10.313069,0 days 00:00:00.448878,6,12,15,2,2,4,15,13,10,8,5,13,14,15,"{""candidate__cinema"": 6, ""candidate__digitaldisplayandsearch"": 12, ""candidate__digitalvideo"": 15, ""candidate__facebook"": 2, ""candidate__instagram"": 2, ""candidate__localtv"": 4, ""candidate__ooh"": 15, ""candidate__opentv"": 13, ""candidate__paytv"": 10, ""candidate__print"": 8, ""candidate__radio"": 5, ""candidate__tiktok"": 13, ""candidate__twitter"": 14, ""candidate__youtube"": 15}",COMPLETE
13,1723.3632777639286,2026-09-21 11:29:10.326912,2026-09-21 11:29:10.769722,0 days 00:00:00.442810,8,7,17,0,10,3,6,10,10,9,3,15,9,10,"{""candidate__cinema"": 8, ""candidate__digitaldisplayandsearch"": 7, ""candidate__digitalvideo"": 17, ""candidate__facebook"": 0, ""candidate__instagram"": 10, ""candidate__localtv"": 3, ""candidate__ooh"": 6, ""candidate__opentv"": 10, ""candidate__paytv"": 10, ""candidate__print"": 9, ""candidate__radio"": 3, ""candidate__tiktok"": 15, ""candidate__twitter"": 9, ""candidate__youtube"": 10}",COMPLETE
