channel,return_min_hl_per_spend,return_median_hl_per_spend,return_max_hl_per_spend,combinations
cinema,0.0,0.0,0.0,18
digitaldisplayandsearch,0.0,0.0,0.0,18
digitalvideo,0.0,40.0183724477119,330.47639970110635,18
facebook,0.0,42.608496708170634,71.41479973310926,18
instagram,0.0,162.32185887520342,255.63736589085366,18
localtv,28.715726867825715,60.61932983609471,77.97500109258782,18
ooh,0.0,0.0,0.29057078374100376,18
opentv,0.0,3.7939207986829895,34.37803765887226,18
paytv,0.0,0.0,0.0,18
print,0.0,0.0,0.0,18
radio,0.0,0.0,103.92011626558687,18
tiktok,0.0,98.75237879229206,220.8641191294389,18
twitter,0.0,0.0,309.76235076328953,18
youtube,0.0,153.21118580832098,404.3202338819442,18
