modelo,n_obs,R2,RMSE_hl,MAE_hl,WAPE,MASE_promedio_series,MASE_agregado,tipo,paso,estado,ventanas,RMSE_medio,RMSE_std,MAE_medio,MAE_std,WAPE_medio,WAPE_std
Paso 0 - Estacional ingenuo,4002,0.7840974161918319,1005.1097740142342,299.68521302723593,0.3983736327284356,0.7475067210596181,0.7403186566400894,principal,Paso 0,Estimado,4,988.3632966935345,220.62417191878987,300.06142314547947,61.49823992964783,0.40731968295910354,0.0671718941729892
Paso 1 - Venta base,4002,0.5763504757227405,1407.9522879370422,465.3528727605445,0.6185968021231116,1.3928913726271674,1.1495709452784486,principal,Paso 1,Estimado,4,1376.4865166675143,183.7079410378674,464.3876477786489,99.58340840098396,0.6221173522428545,0.030725135331845933
Paso 2 - Venta base + lag52,4002,0.7748315083759219,1026.451386337598,309.9630122304498,0.4120359825109911,0.8052082523114108,0.7657081192114323,principal,Paso 2,Estimado,4,947.1052653961995,151.01998405709708,300.1810335400953,50.8176085957088,0.40766861395534565,0.0551074810931391
Paso 3 - MMM estandar,4002,0.5926152919708723,1380.6606198672878,462.12022480659306,0.6142996207715887,1.3775789309271813,1.1415852673516493,principal,Paso 3,Estimado,4,1353.3605283613936,184.7886505941669,460.7989101744604,99.9473997454875,0.6171054491240047,0.031613619351549015
Paso 4 - MMM calibrado conjunto,4002,0.6010985398596942,1366.2097782478932,466.5418746145255,0.6201773505362501,1.4175994580986244,1.1525081614540154,principal,Paso 4,Estimado,4,1343.9669729755974,175.68919493224178,463.40773772298496,99.1137791302366,0.6209855183984434,0.032446904480021854
Paso 5 - MMM calibrado + lag52,4002,0.8447239888438519,852.3868858208981,288.4866295860432,0.38348727807043986,0.8275903384460018,0.712654561486011,principal,Paso 5,Estimado,4,823.1227827206541,126.26574710359024,287.29085044117215,43.56952366471535,0.39089963934989624,0.05076413273806847
A1 - Medios en nivel,4002,0.5780160704831396,1405.1818523495413,465.1610922044089,0.6183418668993724,1.3929908996785194,1.1490971857550678,apendice,A1,Estimado,4,1372.0282900877617,181.98603958148138,464.0105411496641,99.04418489092205,0.6217951707772507,0.03262781613611269
A2 - MMM calibrado + semanas,4002,0.6076263511651141,1354.985016977027,466.36192133513293,0.6199381373935365,1.4735979617013173,1.1520636191000162,apendice,A2,Estimado,4,1328.4789976188456,190.38014433972592,463.4387183959658,105.89872293554338,0.6188414621251286,0.01987089172622873
A3 - MMM calibrado + semanas + lag52,4002,0.8404805003387159,863.9556830409438,297.0587426569268,0.39488224744417555,0.8732171742179161,0.7338304318904902,apendice,A3,Estimado,4,843.5102392569858,122.924671497611,297.1924770664386,50.36923665794649,0.40266512017580913,0.04430408639132983
A4 - MMM calibrado + FE por serie,4002,0.8945373117136289,702.4800500404116,250.86393333573832,0.33347516693931667,0.675402485229948,0.6197144271835804,apendice,A4,Estimado,4,694.0727172932907,130.73615502597468,247.18928760921352,56.456759736842045,0.33305328041949145,0.045274110449327165
A5 - MMM calibrado exploratorio individual,4002,0.59707618226875,1373.080648540512,466.1228352418874,0.6196203185911373,1.4256304728392761,1.1514729997178152,apendice,A5,Reproduccion historica; no participa en seleccion,4,1344.4905177826563,175.78085504296527,463.59125385317395,98.71091844021723,0.6213728315775927,0.03201428460091122
A6 - MMM calibrado + smearing subcanal,4002,0.6016158693082185,1365.3235821269955,469.5746004106608,0.6242087739764378,1.3961826417749847,1.1599999674883312,apendice,A6,Estimado,4,1345.3895281621617,176.50190023001568,466.12493900654647,99.08880400965947,0.6248370333515496,0.03386790044491045
